LCLid,stdorToU,Acorn,Acorn_grouped,count
MAC000002,Std,ACORN-A,Affluent,24158
MAC000003,Std,ACORN-P,Adversity,35469
MAC000004,Std,ACORN-E,Affluent,31677
MAC000005,ToU,ACORN-C,Affluent,30527
MAC000006,Std,ACORN-Q,Adversity,36461
MAC000007,Std,ACORN-H,Comfortable,25046
MAC000008,Std,ACORN-H,Comfortable,26013
MAC000009,Std,ACORN-L,Adversity,25238
MAC000010,Std,ACORN-H,Comfortable,25049
MAC000011,Std,ACORN-N,Adversity,23705
MAC000012,Std,ACORN-E,Affluent,24670
MAC000013,Std,ACORN-K,Adversity,29614
MAC000014,ToU,ACORN-L,Adversity,24036
MAC000015,ToU,ACORN-E,Affluent,39089
MAC000016,Std,ACORN-K,Adversity,19524
MAC000017,ToU,ACORN-C,Affluent,39114
MAC000018,Std,ACORN-E,Affluent,39082
MAC000019,Std,ACORN-K,Adversity,39071
MAC000020,Std,ACORN-J,Comfortable,39079
MAC000021,Std,ACORN-E,Affluent,39079
MAC000022,Std,ACORN-Q,Adversity,39072
MAC000023,Std,ACORN-U,ACORN-U,39069
MAC000024,Std,ACORN-E,Affluent,39027
MAC000025,Std,ACORN-P,Adversity,39065
MAC000026,Std,ACORN-D,Affluent,39065
MAC000027,Std,ACORN-J,Comfortable,39069
MAC000028,Std,ACORN-E,Affluent,32158
MAC000029,Std,ACORN-P,Adversity,39064
MAC000030,Std,ACORN-A,Affluent,39067
MAC000031,ToU,ACORN-Q,Adversity,39059
MAC000032,Std,ACORN-Q,Adversity,39069
MAC000033,Std,ACORN-E,Affluent,39071
MAC000034,Std,ACORN-E,Affluent,39070
MAC000035,Std,ACORN-E,Affluent,39024
MAC000036,Std,ACORN-E,Affluent,39067
MAC000037,Std,ACORN-E,Affluent,39065
MAC000038,Std,ACORN-L,Adversity,39030
MAC000039,Std,ACORN-F,Comfortable,39024
MAC000040,Std,ACORN-A,Affluent,39031
MAC000041,Std,ACORN-Q,Adversity,39012
MAC000042,Std,ACORN-Q,Adversity,39022
MAC000043,Std,ACORN-H,Comfortable,38979
MAC000044,ToU,ACORN-F,Comfortable,39022
