,articleCoverage,goodArticleCoverage,Population mid-2018 (millions),region,numArticles,numGoodArticles
Afghanistan,8.767123287671232,0.0375,36.5,ASIA,320,12
Albania,157.58620689655172,0.006564551422319475,2.9,EUROPE,457,3
Algeria,2.7166276346604215,0.017241379310344827,42.7,AFRICA,116,2
Andorra,425.0,0.0,0.08,EUROPE,34,0
Angola,3.486842105263158,0.0,30.4,AFRICA,106,0
Antigua and Barbuda,240.0,0.0,0.1,LATIN AMERICA AND THE CARIBBEAN,24,0
Argentina,11.03370786516854,0.024439918533604887,44.5,LATIN AMERICA AND THE CARIBBEAN,491,12
Armenia,65.0,0.02564102564102564,3.0,ASIA,195,5
Australia,64.77178423236514,0.024983984625240232,24.1,OCEANIA,1561,39
Austria,37.840909090909086,0.009009009009009009,8.8,EUROPE,333,3
Azerbaijan,18.08080808080808,0.00558659217877095,9.9,ASIA,179,1
Bahamas,50.0,0.0,0.4,LATIN AMERICA AND THE CARIBBEAN,20,0
Bahrain,28.0,0.023809523809523808,1.5,ASIA,42,1
Bangladesh,1.9170673076923077,0.009404388714733543,166.4,ASIA,319,3
Barbados,46.66666666666667,0.0,0.3,LATIN AMERICA AND THE CARIBBEAN,14,0
Belarus,7.578947368421052,0.027777777777777776,9.5,EUROPE,72,2
Belgium,45.614035087719294,0.0019230769230769232,11.4,EUROPE,520,1
Belize,40.0,0.0,0.4,LATIN AMERICA AND THE CARIBBEAN,16,0
Benin,7.913043478260869,0.07692307692307693,11.5,AFRICA,91,7
Bhutan,41.25,0.09090909090909091,0.8,ASIA,33,3
Bolivia,16.194690265486724,0.01092896174863388,11.3,LATIN AMERICA AND THE CARIBBEAN,183,2
Bosnia-Herzegovina,48.57142857142857,0.029411764705882353,3.5,EUROPE,170,5
Botswana,29.999999999999996,0.015151515151515152,2.2,AFRICA,66,1
Brazil,2.6122254059216807,0.010968921389396709,209.4,LATIN AMERICA AND THE CARIBBEAN,547,6
Bulgaria,31.857142857142858,0.008968609865470852,7.0,EUROPE,223,2
Burkina Faso,4.679802955665025,0.031578947368421054,20.3,AFRICA,95,3
Burundi,6.3559322033898304,0.02666666666666667,11.8,AFRICA,75,2
Cambodia,13.3125,0.018779342723004695,16.0,ASIA,213,4
Cameroon,4.0234375,0.0,25.6,AFRICA,103,0
Canada,22.661290322580644,0.02609727164887307,37.2,NORTHERN AMERICA,843,22
Cape Verde,61.66666666666667,0.0,0.6,AFRICA,37,0
Central African Republic,14.042553191489361,0.12121212121212122,4.7,AFRICA,66,8
Chad,6.298701298701299,0.020618556701030927,15.4,AFRICA,97,2
Chile,18.709677419354836,0.008620689655172414,18.6,LATIN AMERICA AND THE CARIBBEAN,348,3
China,0.8107332472377673,0.036283185840707964,1393.8,ASIA,1130,41
Colombia,5.72289156626506,0.0035087719298245615,49.8,LATIN AMERICA AND THE CARIBBEAN,285,1
Comoros,63.75,0.0,0.8,AFRICA,51,0
Congo,27.22222222222222,0.006802721088435374,5.4,AFRICA,147,1
Costa Rica,29.4,0.0,5.0,LATIN AMERICA AND THE CARIBBEAN,147,0
Croatia,40.0,0.018292682926829267,4.1,EUROPE,164,3
Cuba,15.495495495495495,0.011627906976744186,11.1,LATIN AMERICA AND THE CARIBBEAN,172,2
Cyprus,80.83333333333334,0.010309278350515464,1.2,ASIA,97,1
Denmark,49.48275862068966,0.010452961672473868,5.8,EUROPE,287,3
Djibouti,37.0,0.0,1.0,AFRICA,37,0
Dominica,171.42857142857142,0.08333333333333333,0.07,LATIN AMERICA AND THE CARIBBEAN,12,1
Dominican Republic,5.925925925925926,0.015625,10.8,LATIN AMERICA AND THE CARIBBEAN,64,1
Ecuador,10.764705882352942,0.01092896174863388,17.0,LATIN AMERICA AND THE CARIBBEAN,183,2
Egypt,2.422680412371134,0.03829787234042553,97.0,AFRICA,235,9
Equatorial Guinea,23.076923076923077,0.03333333333333333,1.3,AFRICA,30,1
Eritrea,2.6666666666666665,0.0,6.0,AFRICA,16,0
Estonia,114.61538461538461,0.0,1.3,EUROPE,149,0
Ethiopia,0.9395348837209302,0.019801980198019802,107.5,AFRICA,101,2
Federated States of Micronesia,360.0,0.0,0.1,OCEANIA,36,0
Fiji,218.88888888888889,0.005076142131979695,0.9,OCEANIA,197,1
Finland,103.45454545454545,0.0,5.5,EUROPE,569,0
France,25.821812596006147,0.013682331945270671,65.1,EUROPE,1681,23
Gabon,46.19047619047619,0.041237113402061855,2.1,AFRICA,97,4
Gambia,37.272727272727266,0.06097560975609756,2.2,AFRICA,82,5
Germany,8.309178743961352,0.0188953488372093,82.8,EUROPE,688,13
Ghana,13.254237288135593,0.01278772378516624,29.5,AFRICA,391,5
Greece,29.056603773584907,0.022727272727272728,10.6,EUROPE,308,7
Grenada,360.0,0.027777777777777776,0.1,LATIN AMERICA AND THE CARIBBEAN,36,1
Guatemala,4.825581395348838,0.07228915662650602,17.2,LATIN AMERICA AND THE CARIBBEAN,83,6
Guinea,7.310924369747899,0.022988505747126436,11.9,AFRICA,87,2
Guinea-Bissau,10.526315789473685,0.05,1.9,AFRICA,20,1
Guyana,25.0,0.0,0.8,LATIN AMERICA AND THE CARIBBEAN,20,0
Haiti,14.999999999999998,0.018518518518518517,10.8,LATIN AMERICA AND THE CARIBBEAN,162,3
Hungary,62.24489795918367,0.013114754098360656,9.8,EUROPE,610,8
Iceland,502.5,0.009950248756218905,0.4,EUROPE,201,2
India,0.7146503318019398,0.017346938775510204,1371.3,ASIA,980,17
