,page,rev_id,article_quality,population,region
Afghanistan,Murad Quenili,670462475,Stub,36.5,ASIA
Afghanistan,Badar,671455150,Stub,36.5,ASIA
Afghanistan,Mohammed Qalamuddin,671473289,Stub,36.5,ASIA
Afghanistan,Faizanullah Faizan,703507854,Stub,36.5,ASIA
Afghanistan,Mohammad Fahim Dashty,706112927,Stub,36.5,ASIA
Afghanistan,Aamir Latif,708476182,Stub,36.5,ASIA
Afghanistan,Mohammed Islam Mohammadi,709439380,Stub,36.5,ASIA
Afghanistan,Musa Hotak,710004254,Start,36.5,ASIA
Afghanistan,Naqibullah Orya Khail,710066519,Start,36.5,ASIA
Afghanistan,Hazrat-U-Din,710715953,Stub,36.5,ASIA
Afghanistan,Qari Ziauddin,712832121,Start,36.5,ASIA
Afghanistan,Mohammad Siddiq Chakari,713113246,Stub,36.5,ASIA
Afghanistan,Sayed Abdul Karim Hashimi,715179680,Stub,36.5,ASIA
Afghanistan,Mohammad Nabi Safi,715926834,Stub,36.5,ASIA
Afghanistan,Shah Mahmood Safi,715926905,Stub,36.5,ASIA
Afghanistan,Zefnoon Safai,716814855,Stub,36.5,ASIA
Afghanistan,Abdul Zahir (Konar Education Minister),717252806,Stub,36.5,ASIA
Afghanistan,Mohammad Daud Miraki,717365624,Start,36.5,ASIA
Afghanistan,Osman Osmani,717366122,Stub,36.5,ASIA
Afghanistan,Shahnaz Himmeti,717624594,Stub,36.5,ASIA
Afghanistan,Zahera Ahmadyar Mawlayee,717733887,Stub,36.5,ASIA
Afghanistan,Malali Ishaqzai,717743144,Stub,36.5,ASIA
Afghanistan,Mohammad Hashem Taufiqui,717921766,Start,36.5,ASIA
Afghanistan,Khalid Farooqi,718002836,Stub,36.5,ASIA
Afghanistan,Muhammad Hashim Esmatullahi,718019701,Stub,36.5,ASIA
Afghanistan,Khairullah Anosh,718052714,Stub,36.5,ASIA
Afghanistan,Abdul Baqi Turkistani,718250607,Stub,36.5,ASIA
Afghanistan,Zabih-U-llah Ghazi Noristani,718362010,Start,36.5,ASIA
Afghanistan,Hasan Ali Sultani,718362588,Stub,36.5,ASIA
Afghanistan,Ghulam Faroq Nijrabi,718364221,Stub,36.5,ASIA
Afghanistan,Sahib Rahman,718382045,Stub,36.5,ASIA
Afghanistan,Gul Haar Jalal,718383950,Stub,36.5,ASIA
Afghanistan,Sahira Sharif,718384584,Start,36.5,ASIA
Afghanistan,Toorpekai,718384771,Stub,36.5,ASIA
Afghanistan,Baktash Siawash,718882885,Stub,36.5,ASIA
Afghanistan,Mohammed Tahir Omar,718933282,Stub,36.5,ASIA
Afghanistan,Abdul Malik Hamwar,720125764,Stub,36.5,ASIA
Afghanistan,Syed Gulam Farooq Mirranay,720408323,C,36.5,ASIA
Afghanistan,Abdul Bagi Baryal,720586068,Stub,36.5,ASIA
Afghanistan,Nasruddin Mohseni,721524808,Start,36.5,ASIA
Afghanistan,Ahmad Khan Samangani,721999414,Start,36.5,ASIA
Afghanistan,Awtar Singh,722198152,Stub,36.5,ASIA
Afghanistan,Alhaj Mutalib Baig,722893996,Start,36.5,ASIA
Afghanistan,Al-Haj Suliman Yari,723481980,Stub,36.5,ASIA
Afghanistan,Mohammad Ghous Bashiri,723709911,Stub,36.5,ASIA
Afghanistan,Zalmai Mojadidi,724355183,Start,36.5,ASIA
Afghanistan,Sayed Jalal,726625715,Start,36.5,ASIA
Afghanistan,List of rulers of Afghanistan,727899635,Stub,36.5,ASIA
Afghanistan,Fariba Ahmadi Kakar,728644481,Stub,36.5,ASIA
Afghanistan,Sultan Jan,729099380,Stub,36.5,ASIA
Afghanistan,Majah Ha Adrif,729386082,Start,36.5,ASIA
Afghanistan,Mohammad Gul (Helmand Council),730949872,Stub,36.5,ASIA
Afghanistan,Ahmad Shah Khan Asakzai,731353196,Stub,36.5,ASIA
Afghanistan,Kashmir Khan,731397902,Start,36.5,ASIA
Afghanistan,Haroon al-Afghani,731512019,B,36.5,ASIA
Afghanistan,Nematullah Shahrani,737761144,Stub,36.5,ASIA
Afghanistan,Abdul Hadi Arghandiwal,739136660,Stub,36.5,ASIA
Afghanistan,Abdul Hafiz Mansoor,739695950,Stub,36.5,ASIA
Afghanistan,Mohammad Daud Sultanzoy,741518574,Start,36.5,ASIA
Afghanistan,Abdul Qayum Wardak,742229423,Stub,36.5,ASIA
Afghanistan,Abdullah Khan Tarzi,742237237,Start,36.5,ASIA
Afghanistan,Mohammad Aman,745190115,Stub,36.5,ASIA
Afghanistan,Qutbuddin Hilal,746242701,Start,36.5,ASIA
Afghanistan,Zabihullah (Balkh),747783201,Stub,36.5,ASIA
Afghanistan,Razaq Mamoon,748084336,Start,36.5,ASIA
Afghanistan,Sayed Nasim Mihanparast,748224926,Stub,36.5,ASIA
Afghanistan,Said Mohammad Ali Jawid,748594441,Stub,36.5,ASIA
Afghanistan,Azizullah Lodin,748841875,Start,36.5,ASIA
Afghanistan,Mirwais Sadiq,749355761,Stub,36.5,ASIA
Afghanistan,List of governors of Jowzjan,749593657,Stub,36.5,ASIA
Afghanistan,Ghulam Dastagir Azad,749952986,Stub,36.5,ASIA
Afghanistan,Mohammad Omar (Afghan governor),750347412,Start,36.5,ASIA
Afghanistan,Atiqullah Ludin,750535372,Stub,36.5,ASIA
Afghanistan,Hamidullah Qalandarzai,750544170,Stub,36.5,ASIA
Afghanistan,Mohammad Iqbal Azizi,750549549,Stub,36.5,ASIA
Afghanistan,Hakim Taniwal,750561890,Start,36.5,ASIA
Afghanistan,Abdul Ghani Ghani,751150581,Stub,36.5,ASIA
Afghanistan,Amin Karim,751299201,Start,36.5,ASIA
Afghanistan,Pacha Gul Wafadar,751959879,Stub,36.5,ASIA
Afghanistan,Ghulam Qawis Abubaker,752026068,Stub,36.5,ASIA
Afghanistan,Sayed Ahmad Haqbeen,752332885,Stub,36.5,ASIA
Afghanistan,Abdul Sattar Murad,753124044,Stub,36.5,ASIA
Afghanistan,Hanifa Safi,754262111,Stub,36.5,ASIA
Afghanistan,Sardar Mohammad Nadir Naeem,755110536,Stub,36.5,ASIA
Afghanistan,Burhanullah Shinwari,755254358,Stub,36.5,ASIA
Afghanistan,Nasrullah Baryalai Arsalai,755339031,C,36.5,ASIA
Afghanistan,Rafiullah Bidar,755351182,Stub,36.5,ASIA
Afghanistan,Sayed Mohammad Gulabzoy,756609530,Start,36.5,ASIA
Afghanistan,Habibullah Qaderi,757538650,Stub,36.5,ASIA
Afghanistan,Lutfullah Mashal,757800105,Start,36.5,ASIA
Afghanistan,Massouda Jalal,759405630,Start,36.5,ASIA
Afghanistan,Davood Moradian,759449241,Stub,36.5,ASIA
Afghanistan,Ghulam Mohammad Rigi,759489824,Stub,36.5,ASIA
Afghanistan,Shafiqa Habibi,759778743,Start,36.5,ASIA
Afghanistan,Ghulam Mohammad Ghobar,761685512,Stub,36.5,ASIA
Afghanistan,List of ambassadors of Afghanistan,762527227,Stub,36.5,ASIA
Afghanistan,Sayed Mustafa Kazemi,763083773,Stub,36.5,ASIA
Afghanistan,Tayyab Agha,763438364,Stub,36.5,ASIA
Afghanistan,Abdul Wahed Sorabi,764743041,Stub,36.5,ASIA
Afghanistan,Mohammad Ghous,765965877,Stub,36.5,ASIA
Afghanistan,Ahmad Wali Massoud,766167980,Stub,36.5,ASIA
Afghanistan,Jan Baz,766272734,Stub,36.5,ASIA
Afghanistan,Mohammad Nasim Faqiri,766309040,Start,36.5,ASIA
Afghanistan,Cheragh Ali Cheragh,767150678,Start,36.5,ASIA
Afghanistan,Saber Sangar,767427725,Stub,36.5,ASIA
Afghanistan,Ravan A. G. Farhâdi,768137506,C,36.5,ASIA
Afghanistan,Faizullah Kakar,769025347,C,36.5,ASIA
Afghanistan,Faramarz Tamanna,769061187,C,36.5,ASIA
Afghanistan,Sohaila Sharifi,770239277,Stub,36.5,ASIA
Afghanistan,Enayatullah Nazari,770448889,Stub,36.5,ASIA
Afghanistan,Mohammad Ishaq Aloko,770905450,Start,36.5,ASIA
Afghanistan,Mohammad Hashim Khan,771055245,Stub,36.5,ASIA
Afghanistan,Sultan Hamid Sultan,772765313,Stub,36.5,ASIA
Afghanistan,Hajji Muhammad Arif Zarif,772804054,Stub,36.5,ASIA
Afghanistan,Sayed Zafar Hashemi,774179658,Stub,36.5,ASIA
Afghanistan,Anarkali Kaur Honaryar,774499188,Start,36.5,ASIA
Afghanistan,Ismail Qasim Yar,775523762,Stub,36.5,ASIA
Afghanistan,Sima Samar,775966269,C,36.5,ASIA
Afghanistan,Mohammed Rafie,776933374,Stub,36.5,ASIA
Afghanistan,Habibullah Jan,777525023,Stub,36.5,ASIA
Afghanistan,Mohammad Sarwar Ahmadzai,777625464,Start,36.5,ASIA
Afghanistan,Abdul Malik Anwar,777874646,Stub,36.5,ASIA
Afghanistan,Husn Banu Ghazanfar,778690357,Start,36.5,ASIA
Afghanistan,Nur ul-Haq Ulumi,779084312,C,36.5,ASIA
Afghanistan,Roqia Abubakr,779389407,Stub,36.5,ASIA
Afghanistan,Rahila Bibi Kobra Alamshahi,779389809,Stub,36.5,ASIA
Afghanistan,Khadija Ahrari,779839643,Stub,36.5,ASIA
Afghanistan,Sharif Fayez,780326218,Stub,36.5,ASIA
Afghanistan,Mohammad Asim Asim,780468605,Stub,36.5,ASIA
Afghanistan,Mohibullah Samim,780566383,Stub,36.5,ASIA
Afghanistan,Musa Khan Ahmadzai,780765630,Stub,36.5,ASIA
Afghanistan,Mohammad Tamim Nuristani,780939825,Stub,36.5,ASIA
Afghanistan,Jamaluddin Badr,780939867,Start,36.5,ASIA
Afghanistan,Mohammed Hashim Watanwal,780940202,Start,36.5,ASIA
Afghanistan,Munshi Abdul Majid,781002628,Start,36.5,ASIA
Afghanistan,Mohammad Hashim Zare,781002810,Stub,36.5,ASIA
Afghanistan,Roohul Amin,781002975,Stub,36.5,ASIA
